seed	n_docs	lang	bytes_gmean	bytes_gstd	bytes_total	chars_gmean	chars_gstd	chars_total	tresholded_vocab	vocab_size	words_gmean	words_gstd	words_total
1708168874	1000	fr	9903.33543454543	4.31712413893895	23073237	9581.27434077316	4.31790098206817	22324638	12174	163788	1775.88046188674	4.32581797469326	4119805
1708168874	1000	zh	7560.24393958414	4.07356989661951	16664425	2881.2479772607	4.02710779582445	6209179	11873	136455	1699.27937886322	4.09268940915603	3744292
1708168874	5000	ceb	287.20236661517	1.71480831703837	1931035	286.014193316708	1.7162352445471	1924727	1051	26124	55.7172233190055	1.70135346543872	373295
1708168875	5000	arz	1037.97689198174	3.46931683697041	14039265	593.1578104522	3.47939083236049	8018983	14362	151620	117.32557940621	3.5170623974265	1605736
1708168882	5000	arz	1023.44519491501	3.45571609174673	13997586	584.580650618957	3.46588788551722	7989991	14463	151695	115.583053342778	3.50283374037042	1597167
1708168882	5000	sv	3331.25447103428	3.52566170752041	35362363	3208.03736978962	3.52923236752954	34078835	22495	340592	554.843611077447	3.52310787495685	5878757
1708168883	1000	ja	10634.633225918	3.71297914404366	21575683	4081.079532989	3.67330898045388	8171103	8283	112264	2139.60363380983	3.74795861395773	4374147
1708168884	1000	ru	16092.6443678152	3.92016538178535	35127183	8965.27656442649	3.91331404329443	19484494	23216	259753	1552.56453594495	3.87977143646799	3323204
1708168888	5000	pl	3844.47774166285	4.58629962921788	57804247	3642.37919745199	4.59386534537121	54987317	35720	491628	607.768685827955	4.67421896511897	9420447
1708168889	1000	de	11083.9622846865	3.88547475291748	22920296	10890.0139724261	3.88598303349015	22520793	17616	265828	1834.98493114003	3.87232688768619	3750781
1708168890	1000	fr	9907.44998239706	4.31912012507037	22633203	9586.1670733857	4.31894583261256	21899266	12346	163403	1771.51887070119	4.33105196663985	4033682
1708168895	5000	uk	4654.77097631215	3.7755398410866	54585386	2588.95990756296	3.7778502220308	30401946	25696	327381	448.653831049646	3.77326495195402	5321540
1708168896	5000	nl	4729.22057260761	3.71711626731314	49008978	4713.53579617785	3.71812095091758	48858172	19885	343150	848.631848079304	3.75089944017813	8836916
1708168899	1000	ru	16189.5864233413	3.94336929609519	35780020	9020.150538707	3.93601908438369	19842343	23711	263538	1562.4712762312	3.89829577336674	3381797
1708168906	5000	it	2639.68303795704	6.1344220961675	46748285	2619.18529038804	6.12934485445638	46404351	20296	291438	452.621644098984	6.3355949406794	8204710
1708168906	5000	sv	3296.49098350359	3.53851296744841	35087520	3174.72525459082	3.54165177891255	33812904	22446	337567	549.195844529761	3.53275370884689	5832500
1708168908	5000	ar	7092.55840432939	4.53760214853278	93699561	3971.18592466253	4.5295132292996	52234637	39303	531188	760.041041545559	4.5226091981372	9934643
1708168914	5000	vi	4910.0136201893	4.20860716827622	65266580	3816.57127437722	4.18527291378307	50307748	6027	176898	945.49501631694	4.15256217296847	12383829
1708168917	5000	uk	4721.7799382907	3.74512810650093	54542723	2626.2201190438	3.74748826011274	30381132	25570	332341	455.04352900996	3.7477093106674	5331936
