metric,score,lang,partition,task
f1,0.45884026207711626,bm,entropy_lo,sib200
precision,0.5288270630505312,ts,entropy_lo,sib200
recall,0.5196078431372549,ts,entropy_lo,sib200
f1,0.5241769193348073,ts,entropy_lo,sib200
precision,0.512639867384998,ts,entropy_lo,AfriSenti-Twitter
recall,0.5433070866141733,ts,entropy_lo,AfriSenti-Twitter
f1,0.527528152387545,ts,entropy_lo,AfriSenti-Twitter
precision,0.6933763134046546,rn,entropy_lo,masakhanews
recall,0.7018633540372671,rn,entropy_lo,masakhanews
f1,0.6975940210020494,rn,entropy_lo,masakhanews
precision,0.4986053343896481,rn,entropy_lo,sib200
recall,0.47058823529411764,rn,entropy_lo,sib200
f1,0.4841918307304019,rn,entropy_lo,sib200
precision,0.7242647058823529,fon,entropy_lo,masakhaner2
recall,0.7542113323124043,fon,entropy_lo,masakhaner2
f1,0.7389347336834209,fon,entropy_lo,masakhaner2
precision,0.8783759525740322,fon,entropy_lo,masakhapos
recall,0.8796638485293373,fon,entropy_lo,masakhapos
f1,0.8790194288115141,fon,entropy_lo,masakhapos
precision,0.4470673491871066,fon,entropy_lo,sib200
recall,0.45098039215686275,fon,entropy_lo,sib200
f1,0.4490153455654796,fon,entropy_lo,sib200
precision,0.6200306303430523,ti,entropy_lo,masakhanews
recall,0.6213235294117647,ti,entropy_lo,masakhanews
f1,0.6206764065852667,ti,entropy_lo,masakhanews
precision,0.3593325166096231,ti,entropy_lo,sib200
recall,0.37254901960784315,ti,entropy_lo,sib200
f1,0.3658214346217834,ti,entropy_lo,sib200
precision,0.575231012567234,pcm,pre_filtered,AfriSenti-Twitter
recall,0.6391429947038999,pcm,pre_filtered,AfriSenti-Twitter
f1,0.6055051735584327,pcm,pre_filtered,AfriSenti-Twitter
precision,0.7360941940722696,pcm,pre_filtered,masakhaner2
recall,0.7747863247863248,pcm,pre_filtered,masakhaner2
f1,0.7549448261503227,pcm,pre_filtered,masakhaner2
precision,0.910270606706768,pcm,pre_filtered,masakhanews
recall,0.9114754098360656,pcm,pre_filtered,masakhanews
f1,0.9108726098759854,pcm,pre_filtered,masakhanews
precision,0.8580525893458846,pcm,pre_filtered,masakhapos
recall,0.8627204030226701,pcm,pre_filtered,masakhapos
f1,0.8603801651677465,pcm,pre_filtered,masakhapos
precision,0.8364222401289283,ha,pre_filtered,masakhaner
recall,0.9041811846689896,ha,pre_filtered,masakhaner
f1,0.8689828380075345,ha,pre_filtered,masakhaner
precision,0.727673659711906,ha,pre_filtered,AfriSenti-Twitter
recall,0.7026211578351876,ha,pre_filtered,AfriSenti-Twitter
f1,0.7149280037101351,ha,pre_filtered,AfriSenti-Twitter
precision,0.8080304110239962,ha,pre_filtered,masakhaner2
recall,0.8276953029934291,ha,pre_filtered,masakhaner2
f1,0.8177446501562876,ha,pre_filtered,masakhaner2
precision,0.8589418461985504,ha,pre_filtered,masakhanews
recall,0.858712715855573,ha,pre_filtered,masakhanews
f1,0.8588272657443864,ha,pre_filtered,masakhanews
precision,0.9106110673819712,ha,pre_filtered,masakhapos
recall,0.9100745059928733,ha,pre_filtered,masakhapos
f1,0.9103427076243131,ha,pre_filtered,masakhapos
precision,0.35171875158829924,ha,pre_filtered,afrixnli
recall,0.415,ha,pre_filtered,afrixnli
f1,0.38074791207799047,ha,pre_filtered,afrixnli
precision,0.8086061050642028,ha,pre_filtered,sib200
recall,0.7990196078431373,ha,pre_filtered,sib200
f1,0.8037842736410689,ha,pre_filtered,sib200
precision,0.815028901734104,ig,pre_filtered,masakhaner
recall,0.8371501272264631,ig,pre_filtered,masakhaner
f1,0.8259414225941422,ig,pre_filtered,masakhaner
precision,0.7482948246807467,ig,pre_filtered,AfriSenti-Twitter
recall,0.7395437262357415,ig,pre_filtered,AfriSenti-Twitter
f1,0.7438935395596995,ig,pre_filtered,AfriSenti-Twitter
precision,0.8386411889596603,ig,pre_filtered,masakhaner2
recall,0.8531317494600432,ig,pre_filtered,masakhaner2
f1,0.8458244111349036,ig,pre_filtered,masakhaner2
precision,0.8531123409867877,ig,pre_filtered,masakhanews
recall,0.8461538461538461,ig,pre_filtered,masakhanews
f1,0.849618846052563,ig,pre_filtered,masakhanews
precision,0.8263426998506416,ig,pre_filtered,masakhapos
recall,0.7856557750068263,ig,pre_filtered,masakhapos
f1,0.8054857673854721,ig,pre_filtered,masakhapos
precision,0.4147648796107884,ig,pre_filtered,afrixnli
recall,0.4066666666666667,ig,pre_filtered,afrixnli
f1,0.41067585438153736,ig,pre_filtered,afrixnli
precision,0.775565210932858,ig,pre_filtered,sib200
recall,0.7647058823529411,ig,pre_filtered,sib200
f1,0.7700972660383616,ig,pre_filtered,sib200
precision,0.5772250194706277,sw,pre_filtered,AfriSenti-Twitter
recall,0.6016042780748663,sw,pre_filtered,AfriSenti-Twitter
f1,0.5891625561876161,sw,pre_filtered,AfriSenti-Twitter
precision,0.8772007042253521,sw,pre_filtered,masakhaner2
recall,0.920554272517321,sw,pre_filtered,masakhaner2
f1,0.8983547441965292,sw,pre_filtered,masakhaner2
precision,0.8135788298003185,sw,pre_filtered,masakhanews
recall,0.8088235294117647,sw,pre_filtered,masakhanews
f1,0.8111942106560591,sw,pre_filtered,masakhanews
precision,0.9038006345436718,sw,pre_filtered,masakhapos
recall,0.9140226452656464,sw,pre_filtered,masakhapos
f1,0.9088828996238076,sw,pre_filtered,masakhapos
precision,0.7901025982240404,sw,pre_filtered,sib200
recall,0.7843137254901961,sw,pre_filtered,sib200
f1,0.7871975194853948,sw,pre_filtered,sib200
precision,0.6959937156323645,yo,pre_filtered,masakhaner
recall,0.7847652790079717,yo,pre_filtered,masakhaner
f1,0.7377185678601165,yo,pre_filtered,masakhaner
precision,0.6986629994891639,yo,pre_filtered,AfriSenti-Twitter
recall,0.6830564784053156,yo,pre_filtered,AfriSenti-Twitter
f1,0.6907716011217848,yo,pre_filtered,AfriSenti-Twitter
precision,0.8267564966313763,yo,pre_filtered,masakhaner2
recall,0.8551518168242906,yo,pre_filtered,masakhaner2
f1,0.8407144604844629,yo,pre_filtered,masakhaner2
precision,0.8717250771179628,yo,pre_filtered,masakhanews
recall,0.8637469586374696,yo,pre_filtered,masakhanews
f1,0.8677176798194883,yo,pre_filtered,masakhanews
