id,length
1986,148
1988,1008
1989,3529
1990,2092
1991,457
1992,113
1994,880
1995,1902
1996,1410
1997,1802
2000,8721
2001,3598
2002,2631
2003,2124
2006,1897
2008,1162
2009,339
2010,2387
2011,2133
2012,1088
2013,2329
2014,5975
2015,1487
2017,2894
2019,2085
2020,1302
2021,851
2022,1378
2023,3709
2024,4663
2025,1562
2028,1099
2029,1212
2030,1088
2031,1588
2032,1809
2033,744
2035,737
2036,2461
2037,1329
2038,922
2039,2367
2040,1351
2042,2006
2043,412
2044,1358
2046,946
2047,180
2048,392
2054,2646
2056,2040
2057,2334
2059,771
2060,270
2061,1786
2062,2389
2063,1718
2064,1842
2065,1022
2066,421
2067,1756
2068,1119
2069,805
2070,2676
2072,2365
2073,4683
2074,1588
2076,2572
2077,2739
2078,1664
2079,1969
2080,2346
2081,474
2082,2712
2086,2084
2087,147
2088,173
2089,1986
2090,385
2091,2558
2092,1247
2093,2535
2094,608
2095,4157
2096,1635
2097,1150
2098,1132
2099,1981
2100,531
2101,1785
2102,3564
2103,3354
2104,1700
2105,2721
2106,2395
2107,1666
2108,1865
2110,3823
2111,182
2112,247
2113,3274
2114,1915
2115,2641
2116,542
2117,3952
2118,2194
2119,1618
2120,2138
2121,2453
2122,1177
2123,1758
2124,1631
2125,2361
2126,439
2127,1557
2128,3247
2129,2314
2130,1952
2131,355
2132,2289
2133,1273
2134,1016
2136,1528
2138,1607
2139,965
2142,676
2143,1826
2144,247
2145,970
2146,1051
2147,1926
2148,2599
2149,526
2150,1231
2151,3592
2152,42
2153,95
2155,72
2158,107
2159,66
2160,163
2161,68
2163,80
2164,167
2165,83
2166,181
2167,78
2168,74
2169,80
2170,72
2171,68
2172,68
2173,71
2174,69
2175,68
2176,78
2177,69
2178,70
2179,67
